PFCNTR,DMA_CODE,DMA_DESC,OPEN_BRANDS_DESC,OPERTNL_STAT_CODE,LEGAL_ENTITY_NAME,CITY_NAME,STATE_CODE,CNTY_NAME,ZIP_CODE,CNTRY,Latitude,Longitude
353605,524,"Atlanta, GA",DD,Open,"353605 Georgia Donuts, LLC",Kennesaw,GA,Cobb,30144,USA,34.061162,-84.593211
353609,504,"Philadelphia, PA",DD,Open,Shantilal LLC,Trooper,PA,Montgomery,19403,USA,40.142312,-75.3899
353612,574,"Johnstown/Altoona, PA",DD,Open,"SVP West, LLC",Johnstown,PA,Cambria,15905,USA,40.323643,-78.956706
353616,511,"Washington, DC",DD,Open,"M.P. Donut Operating, LLC",Rockville,MD,Montgomery,20852,USA,39.045996,-77.112838
353620,534,"Orlando/Daytona/Melbourne, FL",BR/DD,Open,MRMP Ventures I LLC,Orlando,FL,Orange,32819,USA,28.424163,-81.461339
353621,534,"Orlando/Daytona/Melbourne, FL",BR/DD,Open,"SSRM9, LLC",Celebration,FL,Osceola,34747,USA,28.332164,-81.53264
353622,539,"Tampa/St. Pete/Sarasota, FL",DD,Open,"Dade City Donuts, LLC",Dade City,FL,Pasco,33525,USA,28.349807,-82.188016
353623,670,"Ft. Smith, AR",DD,Open,"LFO Springdale, LLC",Springdale,AR,Washington,72762,USA,36.176196,-94.162346
353625,533,"Hartford-New Haven, CT",DD,Open,"V.E. Westchester, LLC",Colchester,CT,New London,6415,USA,41.54553,-72.411912
353635,602,"Chicago, IL",DD,Open,"Chicagoland Commissary, LLC",Schaumburg,IL,Cook,60193,USA,42.009715,-88.080405
353636,577,"Wilkes Barre-Scranton, PA",DD,Open,Cope Enterprises LLC,Edwardsville,PA,Luzerne,18704,USA,41.259864,-75.901836
353637,528,"Miami-FT. Lauderdale, FL",DD,Permanent Close,"POMPANO BEACH DONUTS, LLC",Pompano Beach,FL,Broward,33064,USA,26.274393,-80.119721
353639,514,"Buffalo, NY",DD,Open,"136 West Main Street, Inc.",Batavia,NY,Genesee,14020,USA,43.004874,-78.20374
353640,501,"Metro, NY",DD,Open,"Deck 806 - Franklin, LLC",Brooklyn,NY,Kings,11225,USA,40.67037,-73.958054
353641,501,"Metro, NY",DD,Open,Metro Franchising Commissary LLC,Glendale,NY,Queens,11385,USA,40.702672,-73.854732
353643,752,"Colorado Springs, CO",BR,Open,Prutch Enterprises LLC,Pueblo,CO,Pueblo,81005,USA,38.221517,-104.643201
353644,512,"Baltimore, MD",DD,Open,"LUIS GROUP NINE, LLC",West Friendship,MD,Howard,21794,USA,39.303545,-76.955417
353645,511,"Washington, DC",DD,Open,"THE LEONARDTOWN GROUP, LLC",Leonardtown,MD,Saint MaryS,20650,USA,38.296269,-76.635428
353646,544,"Norfolk, VA",DD,Open,"VIRGINIA DONUTS VIII, LLC",Chesapeake,VA,Chesapeake,23322,USA,36.655955,-76.231646
353647,501,"Metro, NY",DD,Open,"Sodexo Operations, LLC",Fairfield,CT,Fairfield,6824,USA,41.160598,-73.258018
353648,504,"Philadelphia, PA",DD,Open,"Aramark Sports and Entertainment Services, LLC",Philadelphia,PA,Philadelphia,19148,USA,39.906147,-75.170243
353649,504,"Philadelphia, PA",DD,Open,"Aramark Sports and Entertainment Services, LLC",Philadelphia,PA,Philadelphia,19148,USA,39.901032,-75.164375
353650,504,"Philadelphia, PA",DD,Open,"Aramark Sports and Entertainment Services, LLC",Philadelphia,PA,Philadelphia,19148,USA,39.903891,-75.167384
353651,532,"Albany-Schenectady-Troy, NY",DD,Open,"Loves Travel Stops & Country Stores, Inc.",Canaan,NY,Columbia,12029,USA,42.362389,-73.429855
353652,825,"San Diego, CA",BR/DD,Open,MAIN ST COFFEE COMPANY LLC,Ramona,CA,San Diego,92065,USA,33.03823,-116.875205
353653,534,"Orlando/Daytona/Melbourne, FL",DD,Temporary Close,"SSP America, Inc.",Sanford,FL,Seminole,32773,USA,28.775695,-81.24236
353655,602,"Chicago, IL",BR/DD,Open,"Westmont Donut, Inc.",Westmont,IL,Dupage,60559,USA,41.809539,-87.980346
353657,543,"Springfield, MA",DD,Open,"Agawam Donuts, Inc.",Agawam,MA,Hampden,1001,USA,42.080584,-72.614626
353659,501,"Metro, NY",DD,Open,"KANAK BARDONIA, LLC",Bardonia,NY,Rockland,10954,USA,41.108995,-73.996478
353660,501,"Metro, NY",DD,Open,SHRI RAM DONUT 9 LLC,Kearny,NJ,Hudson,7099,USA,40.746352,-74.10875
353661,602,"Chicago, IL",DD,Open,"Chicagoland Commissary, LLC",Mt Prospect,IL,Cook,60056,USA,42.065364,-87.940147
353662,534,"Orlando/Daytona/Melbourne, FL",DD,Open,"MET DONUTS, LLC",Kissimmee,FL,Osceola,34746,USA,28.305176,-81.461308
353664,534,"Orlando/Daytona/Melbourne, FL",DD,Open,"DeBary Donuts, LLC",Debary,FL,Volusia,32713,USA,28.892215,-81.306636
353667,602,"Chicago, IL",DD,Not Yet Open,,Bartlett,IL,DU PAGE,60103,USA,41.951552,-88.2068
353669,528,"Miami-FT. Lauderdale, FL",DD,Open,"CHASE DONUTS, LLC",Pompano Beach,FL,Broward,33060,USA,26.231328,-80.121217
353671,544,"Norfolk, VA",BR,Open,"SCOOPS, LLC",Hampton,VA,Hampton,23666,USA,37.045552,-76.389703
353672,571,"Fort Myers, FL",DD,Not Yet Open,,Naples,FL,Collier,34104,USA,26.13865,-81.734179
353673,528,"Miami-FT. Lauderdale, FL",DD,Open,EAST HILLSBORO COFFEE LLC,Deerfield Beach,FL,Broward,33441,USA,26.318927,-80.106946
353674,501,"Metro, NY",DD,Not Yet Open,,Ossining,NY,WESTCHESTER,10562,USA,41.170454,-73.865092
353675,533,"Hartford-New Haven, CT",DD,Permanent Close,"Great American Donut, Inc.",Haddam,CT,Middlesex,6438,USA,41.445172,-72.47361
353677,501,"Metro, NY",DD,Not Yet Open,ABDD IV LLC,Fort Montgomery,NY,Orange,10922,USA,41.335454,-73.984811
353683,505,"Detroit, MI",DD,Open,"Lekander-Trombo, LLC",Grass Lake,MI,Jackson,49240,USA,42.288381,-84.204842
353688,529,"Louisville, KY",BR,Permanent Close,"Loving Life Too, LLC",Shelbyville,KY,Shelby,40065,USA,38.212982,-85.240943
353689,504,"Philadelphia, PA",DD,Open,FORT WASHINGTON RETAIL FOODS LLC,Fort Washington,PA,Montgomery,19034,USA,40.133701,-75.205599
353690,566,"Lancaster/Harrisburg/York, PA",DD,Open,"KPV Harrisburg Airport, LLC",Middletown,PA,Dauphin,17057,USA,40.196113,-76.75583
353692,506,"E. Mass/Southern, NH",DD,Open,"Crosspoint Donuts, Inc.",Chelmsford,MA,Middlesex,1824,USA,42.594956,-71.349909
353699,510,"Cleveland, OH",DD,Open,"C & P DONUTS, INC.",Stow,OH,Summit,44224,USA,41.166798,-81.404714
353701,548,"W. Palm Bch/Ft. Pierce, FL",DD,Open,SHREE GOPAL DONUT LLC,Boca Raton,FL,Palm Beach,33433,USA,26.332344,-80.15215
353702,532,"Albany-Schenectady-Troy, NY",DD,Open,CROSSGATES DONUTS INC.,Albany,NY,Albany,12203,USA,42.688735,-73.850018
353703,508,"Pittsburgh, PA",DD,Open,"HRG Butler City, LLC",Butler,PA,Butler,16001,USA,40.863055,-79.895341
353708,743,"Anchorage, AK",BR,Open,MX2 LLC,Anchorage,AK,Anchorage,99515,USA,61.1458,-149.881595
353710,504,"Philadelphia, PA",BR/DD,Open,Ardmore Donuts LLC,Ardmore,PA,Montgomery,19003,USA,40.008652,-75.297092
353712,648,"Champaign/Springfield, IL",DD,Open,OM SHREE SHIVAM INC.,Decatur,IL,Macon,62526,USA,39.877237,-88.954065
353714,510,"Cleveland, OH",DD,Open,"HOLE IN THE MIDDLE, LLC",Sandusky,OH,Erie,44870,USA,41.433562,-82.714185
353717,517,"Charlotte, NC",DD,Open,North New Hope Donuts LLC,Gastonia,NC,Gaston,28054,USA,35.267006,-81.149569
353718,602,"Chicago, IL",DD,Open,"ROUTE 62 DONUTS, INC.",Algonquin,IL,McHenry,60102,USA,42.15878,-88.272469
353720,508,"Pittsburgh, PA",DD,Open,"HRG Mt. Lebanon, LLC",Pittsburgh,PA,Allegheny,15228,USA,40.355789,-80.049537
353721,512,"Baltimore, MD",DD,Open,"Easton Donut Shop, Inc.",Easton,MD,Talbot,21601,USA,38.780106,-76.083478
